NAME,D1Q1,D1Q2,D1Q3,D2Q1,D2Q2,D2Q3,D2Q4,D2Q5,D3Q1,D3Q2,D3Q3,D3Q4,D4Q1,D4Q2,D4Q3,D4Q4,D5Q1,D5Q2,D5Q3
Obs_29,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0
Obs_30,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0
Obs_31,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0
Obs_32,1.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0
Obs_33,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0
Obs_34,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0
Obs_35,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
Obs_36,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0
Obs_37,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
Obs_38,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Obs_39,2.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Obs_40,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Obs_41,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0
Obs_42,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0
Obs_43,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0
Obs_44,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0
Obs_45,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0
Obs_46,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0
Obs_47,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0
Obs_48,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0
Obs_49,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
Obs_50,5.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0
Obs_51,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Obs_52,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0
Obs_53,4.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Obs_54,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0
Obs_55,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Obs_56,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0
Obs_57,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0
