NAME,D1Q1,D1Q2,D1Q3,D2Q1,D2Q2,D2Q3,D2Q4,D2Q5,D3Q1,D3Q2,D3Q3,D3Q4,D4Q1,D4Q2,D4Q3,D4Q4,D5Q1,D5Q2,D5Q3
Obs_60,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0
Obs_61,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0
Obs_62,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0
Obs_63,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
Obs_64,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,5.0
Obs_65,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
Obs_66,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0
Obs_67,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0
Obs_68,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,1.0
Obs_69,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0
Obs_70,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
Obs_71,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
Obs_72,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0
Obs_73,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Obs_74,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
Obs_75,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
Obs_76,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0
Obs_77,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
Obs_78,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0
Obs_79,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0
Obs_80,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
Obs_81,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
Obs_82,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0
Obs_83,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0
Obs_84,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
Obs_85,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0
Obs_86,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0
Obs_87,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Obs_88,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
