NAME,D1Q1,D1Q2,D1Q3,D2Q1,D2Q2,D2Q3,D2Q4,D2Q5,D3Q1,D3Q2,D3Q3,D3Q4,D4Q1,D4Q2,D4Q3,D4Q4,D5Q1,D5Q2,D5Q3
Obs_89,5.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0
Obs_90,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
Obs_91,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
Obs_92,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
Obs_93,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0
Obs_94,4.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
Obs_95,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Obs_96,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
Obs_97,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0
Obs_98,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0
Obs_99,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0
Obs_100,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0
Obs_101,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0
Obs_102,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0
Obs_103,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0
Obs_104,5.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
Obs_105,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0
Obs_106,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0
Obs_107,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
Obs_108,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0
Obs_109,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0
Obs_110,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
Obs_111,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
Obs_112,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0
Obs_113,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0
Obs_114,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
Obs_115,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Obs_116,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0
Obs_117,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
Obs_118,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0
Obs_119,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
Obs_120,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
